EQTL_H2	H2GE	CORRELATION	NUM_GWAS	count
0.01	0.0	0.2	20000	42
0.01	0.0	0.2	100000	42
0.01	0.0	0.2	600000	45
0.01	0.0	0.8	20000	47
0.01	0.0	0.8	100000	47
0.01	0.0	0.8	600000	49
0.01	0.0001	0.2	20000	38
0.01	0.0001	0.2	100000	40
0.01	0.0001	0.2	600000	39
0.01	0.0001	0.8	20000	44
0.01	0.0001	0.8	100000	42
0.01	0.0001	0.8	600000	42
0.01	0.001	0.2	20000	47
0.01	0.001	0.2	100000	47
0.01	0.001	0.2	600000	47
0.01	0.001	0.8	20000	40
0.01	0.001	0.8	100000	39
0.01	0.001	0.8	600000	40
0.01	0.01	0.2	20000	45
0.01	0.01	0.2	100000	43
0.01	0.01	0.2	600000	43
0.01	0.01	0.8	20000	32
0.01	0.01	0.8	100000	33
0.01	0.01	0.8	600000	34
0.05	0.0	0.2	20000	156
0.05	0.0	0.2	100000	153
0.05	0.0	0.2	600000	153
0.05	0.0	0.8	20000	118
0.05	0.0	0.8	100000	116
0.05	0.0	0.8	600000	115
0.05	0.0001	0.2	20000	136
0.05	0.0001	0.2	100000	133
0.05	0.0001	0.2	600000	135
0.05	0.0001	0.8	20000	115
0.05	0.0001	0.8	100000	114
0.05	0.0001	0.8	600000	112
0.05	0.001	0.2	20000	133
0.05	0.001	0.2	100000	136
0.05	0.001	0.2	600000	131
0.05	0.001	0.8	20000	119
0.05	0.001	0.8	100000	119
0.05	0.001	0.8	600000	120
0.05	0.01	0.2	20000	127
0.05	0.01	0.2	100000	125
0.05	0.01	0.2	600000	124
0.05	0.01	0.8	20000	132
0.05	0.01	0.8	100000	133
0.05	0.01	0.8	600000	132
0.1	0.0	0.2	20000	363
0.1	0.0	0.2	100000	362
0.1	0.0	0.2	600000	364
0.1	0.0	0.8	20000	363
0.1	0.0	0.8	100000	360
0.1	0.0	0.8	600000	359
0.1	0.0001	0.2	20000	352
0.1	0.0001	0.2	100000	351
0.1	0.0001	0.2	600000	353
0.1	0.0001	0.8	20000	344
0.1	0.0001	0.8	100000	345
0.1	0.0001	0.8	600000	346
0.1	0.001	0.2	20000	353
0.1	0.001	0.2	100000	351
0.1	0.001	0.2	600000	345
0.1	0.001	0.8	20000	369
0.1	0.001	0.8	100000	369
0.1	0.001	0.8	600000	367
0.1	0.01	0.2	20000	333
0.1	0.01	0.2	100000	334
0.1	0.01	0.2	600000	332
0.1	0.01	0.8	20000	347
0.1	0.01	0.8	100000	344
0.1	0.01	0.8	600000	346
