H2GE	EQTL_H2	CORRELATION	NUM_GWAS	LASSO_POWER	MAGEPRO_POWER	METRO_POWER
0	0.01	0.2	20000	0.0	0.0	0.0010482180293501049
0	0.01	0.2	100000	0.0	0.0	0.0
0	0.01	0.2	600000	0.0	0.0	0.0
0	0.01	0.8	20000	0.0	0.0	0.0
0	0.01	0.8	100000	0.0	0.0	0.0
0	0.01	0.8	600000	0.0	0.0	0.0
0	0.05	0.2	20000	0.0	0.0	0.0
0	0.05	0.2	100000	0.0	0.0	0.0
0	0.05	0.2	600000	0.0	0.0	0.0
0	0.05	0.8	20000	0.0	0.0	0.0
0	0.05	0.8	100000	0.0	0.0	0.0
0	0.05	0.8	600000	0.0	0.0	0.0
0	0.1	0.2	20000	0.0	0.0	0.0
0	0.1	0.2	100000	0.0	0.0	0.0
0	0.1	0.2	600000	0.0	0.0	0.0
0	0.1	0.8	20000	0.0	0.0	0.0
0	0.1	0.8	100000	0.0	0.0	0.0
0	0.1	0.8	600000	0.0	0.0	0.0
0.0001	0.01	0.2	20000	0.0021008403361344537	0.0021008403361344537	0.0010504201680672268
0.0001	0.01	0.2	100000	0.007352941176470588	0.009453781512605041	0.0
0.0001	0.01	0.2	600000	0.09138655462184873	0.11134453781512606	0.0
0.0001	0.01	0.8	20000	0.0	0.0	0.0
0.0001	0.01	0.8	100000	0.005252100840336135	0.007352941176470588	0.0
0.0001	0.01	0.8	600000	0.07983193277310924	0.11239495798319328	0.0
0.0001	0.05	0.2	20000	0.0021008403361344537	0.0021008403361344537	0.0
0.0001	0.05	0.2	100000	0.07773109243697479	0.09558823529411764	0.0
0.0001	0.05	0.2	600000	0.6292016806722689	0.7132352941176471	0.0
0.0001	0.05	0.8	20000	0.0	0.0010504201680672268	0.0
0.0001	0.05	0.8	100000	0.07352941176470588	0.09663865546218488	0.0
0.0001	0.05	0.8	600000	0.6439075630252101	0.7111344537815126	0.0
0.0001	0.1	0.2	20000	0.0063025210084033615	0.008403361344537815	0.0
0.0001	0.1	0.2	100000	0.15021008403361344	0.15546218487394958	0.0
0.0001	0.1	0.2	600000	0.9621848739495799	0.9653361344537815	0.0
0.0001	0.1	0.8	20000	0.0010504201680672268	0.0031512605042016808	0.0
0.0001	0.1	0.8	100000	0.16491596638655462	0.17331932773109243	0.0
0.0001	0.1	0.8	600000	0.9611344537815126	0.9695378151260504	0.0
0.001	0.01	0.2	20000	0.03361344537815126	0.03466386554621849	0.012605042016806723
0.001	0.01	0.2	100000	0.13970588235294118	0.15966386554621848	0.0
0.001	0.01	0.2	600000	0.38760504201680673	0.4411764705882353	0.0
0.001	0.01	0.8	20000	0.029411764705882353	0.032563025210084036	0.012605042016806723
0.001	0.01	0.8	100000	0.15336134453781514	0.17436974789915966	0.0
0.001	0.01	0.8	600000	0.3855042016806723	0.43067226890756305	0.0
0.001	0.05	0.2	20000	0.3077731092436975	0.3897058823529412	0.007352941176470588
0.001	0.05	0.2	100000	0.726890756302521	0.7710084033613446	0.0
0.001	0.05	0.2	600000	0.9222689075630253	0.944327731092437	0.0
0.001	0.05	0.8	20000	0.2930672268907563	0.3487394957983193	0.011554621848739496
0.001	0.05	0.8	100000	0.7153361344537815	0.7605042016806722	0.0
0.001	0.05	0.8	600000	0.8991596638655462	0.9348739495798319	0.0
0.001	0.1	0.2	20000	0.532563025210084	0.5588235294117647	0.0021008403361344537
0.001	0.1	0.2	100000	0.9653361344537815	0.9663865546218487	0.0
0.001	0.1	0.2	600000	0.9968487394957983	0.9947478991596639	0.0
0.001	0.1	0.8	20000	0.5735294117647058	0.6050420168067226	0.0010504201680672268
0.001	0.1	0.8	100000	0.9705882352941176	0.9705882352941176	0.0
0.001	0.1	0.8	600000	0.9989495798319328	0.9957983193277311	0.0
0.01	0.01	0.2	20000	0.22373949579831934	0.2689075630252101	0.509453781512605
0.01	0.01	0.2	100000	0.4684873949579832	0.5357142857142857	0.0
0.01	0.01	0.2	600000	0.7132352941176471	0.7878151260504201	0.0
0.01	0.01	0.8	20000	0.20378151260504201	0.23214285714285715	0.49264705882352944
0.01	0.01	0.8	100000	0.46113445378151263	0.5126050420168067	0.0
0.01	0.01	0.8	600000	0.7048319327731093	0.7521008403361344	0.0
0.01	0.05	0.2	20000	0.8298319327731093	0.8434873949579832	0.23949579831932774
0.01	0.05	0.2	100000	0.9485294117647058	0.9642857142857143	0.0
0.01	0.05	0.2	600000	0.976890756302521	0.9936974789915967	0.0
0.01	0.05	0.8	20000	0.8222923238696109	0.8580441640378549	0.2334384858044164
0.01	0.05	0.8	100000	0.9442691903259727	0.9768664563617245	0.0
0.01	0.05	0.8	600000	0.9758149316508938	0.9989484752891693	0.0
0.01	0.1	0.2	20000	0.9936842105263158	0.9947368421052631	0.02
0.01	0.1	0.2	100000	1.0	0.9989473684210526	0.0
0.01	0.1	0.2	600000	1.0	1.0	0.0
0.01	0.1	0.8	20000	0.9873551106427819	0.9863013698630136	0.020021074815595362
0.01	0.1	0.8	100000	0.9978925184404637	0.9989462592202318	0.0
0.01	0.1	0.8	600000	1.0	1.0	0.0
