NUM_GENES	H2GE	EQTL_H2	CORRELATION	NUM_GWAS	LASSO_POWER	PRSCSx_POWER	MAGEPRO_POWER	METRO_POWER
1010	0	0.01	0.2	20000	0.0	0.0	0.0	0.0
1010	0	0.01	0.2	100000	0.0	0.0	0.0	0.0
1010	0	0.01	0.2	600000	0.0	0.0	0.0	0.0
1010	0	0.01	0.8	20000	0.0009900990099009901	0.0009900990099009901	0.0009900990099009901	0.0
1010	0	0.01	0.8	100000	0.0	0.0	0.0	0.0
1010	0	0.01	0.8	600000	0.0	0.0	0.0	0.0
1009	0	0.05	0.2	20000	0.0	0.0	0.0	0.0
1009	0	0.05	0.2	100000	0.0	0.0	0.0	0.0
1009	0	0.05	0.2	600000	0.0	0.0	0.0	0.0
1008	0	0.05	0.8	20000	0.0	0.0	0.0	0.0
1008	0	0.05	0.8	100000	0.0	0.0	0.0	0.0
1008	0	0.05	0.8	600000	0.0	0.0	0.0	0.0
1008	0	0.1	0.2	20000	0.0	0.0	0.0	0.0
1008	0	0.1	0.2	100000	0.0	0.0	0.0	0.0
1008	0	0.1	0.2	600000	0.0	0.0	0.0	0.0
1007	0	0.1	0.8	20000	0.0	0.0	0.0	0.0009930486593843098
1007	0	0.1	0.8	100000	0.0	0.0	0.0	0.0009930486593843098
1006	0	0.1	0.8	600000	0.0	0.0	0.0	0.0009940357852882703
1006	0.0001	0.01	0.2	20000	0.0	0.0	0.0	0.0
1006	0.0001	0.01	0.2	100000	0.0019880715705765406	0.0009940357852882703	0.0019880715705765406	0.0009940357852882703
1006	0.0001	0.01	0.2	600000	0.0437375745526839	0.04572564612326044	0.048707753479125246	0.36779324055666
1006	0.0001	0.01	0.8	20000	0.0	0.0	0.0	0.0
1006	0.0001	0.01	0.8	100000	0.0019880715705765406	0.0009940357852882703	0.0009940357852882703	0.0
1005	0.0001	0.01	0.8	600000	0.04875621890547264	0.04378109452736319	0.050746268656716415	0.3800995024875622
1005	0.0001	0.05	0.2	20000	0.0	0.0009950248756218905	0.0	0.0
1005	0.0001	0.05	0.2	100000	0.020895522388059702	0.013930348258706468	0.01791044776119403	0.0009950248756218905
1005	0.0001	0.05	0.2	600000	0.3940298507462687	0.3781094527363184	0.408955223880597	0.4059701492537313
1004	0.0001	0.05	0.8	20000	0.0	0.0	0.0	0.0
1004	0.0001	0.05	0.8	100000	0.014940239043824702	0.013944223107569721	0.0199203187250996	0.00298804780876494
1003	0.0001	0.05	0.8	600000	0.4077766699900299	0.3968095712861416	0.46061814556331004	0.5064805583250249
1003	0.0001	0.1	0.2	20000	0.0009970089730807576	0.0009970089730807576	0.0009970089730807576	0.0
1003	0.0001	0.1	0.2	100000	0.027916251246261216	0.03489531405782652	0.040877367896311065	0.0009970089730807576
1003	0.0001	0.1	0.2	600000	0.7726819541375872	0.7637088733798604	0.8055832502492523	0.40279162512462613
1002	0.0001	0.1	0.8	20000	0.001996007984031936	0.000998003992015968	0.0	0.0
1002	0.0001	0.1	0.8	100000	0.043912175648702596	0.03792415169660679	0.05788423153692615	0.0029940119760479044
1002	0.0001	0.1	0.8	600000	0.7764471057884231	0.7395209580838323	0.8313373253493014	0.45209580838323354
1001	0.001	0.01	0.2	20000	0.00999000999000999	0.00999000999000999	0.007992007992007992	0.00999000999000999
1001	0.001	0.01	0.2	100000	0.08491508491508491	0.08091908091908091	0.09090909090909091	0.8231768231768232
1001	0.001	0.01	0.2	600000	0.34665334665334663	0.35064935064935066	0.3596403596403596	0.955044955044955
1001	0.001	0.01	0.8	20000	0.008991008991008992	0.006993006993006993	0.01098901098901099	0.011988011988011988
1001	0.001	0.01	0.8	100000	0.08791208791208792	0.08391608391608392	0.1038961038961039	0.8301698301698301
1000	0.001	0.01	0.8	600000	0.346	0.375	0.379	0.962
999	0.001	0.05	0.2	20000	0.0990990990990991	0.09309309309309309	0.11011011011011011	0.018018018018018018
999	0.001	0.05	0.2	100000	0.5285285285285285	0.5225225225225225	0.5615615615615616	0.7837837837837838
999	0.001	0.05	0.2	600000	0.8778778778778779	0.8938938938938938	0.9159159159159159	0.8808808808808809
998	0.001	0.05	0.8	20000	0.08917835671342686	0.08316633266533066	0.11022044088176353	0.01903807615230461
998	0.001	0.05	0.8	100000	0.5270541082164328	0.5200400801603207	0.5671342685370742	0.8186372745490982
998	0.001	0.05	0.8	600000	0.875751503006012	0.8927855711422845	0.9168336673346693	0.8917835671342685
997	0.001	0.1	0.2	20000	0.22868605817452356	0.23771313941825475	0.2868605817452357	0.01805416248746239
997	0.001	0.1	0.2	100000	0.8866599799398195	0.8856569709127382	0.9007021063189569	0.6328986960882648
997	0.001	0.1	0.2	600000	0.9899699097291875	0.9909729187562688	0.9939819458375125	0.6720160481444333
997	0.001	0.1	0.8	20000	0.23470411233701102	0.22166499498495487	0.27181544633901705	0.033099297893681046
997	0.001	0.1	0.8	100000	0.9007021063189569	0.8916750250752257	0.9157472417251755	0.6258776328986961
996	0.001	0.1	0.8	600000	0.9899598393574297	0.9909638554216867	0.9959839357429718	0.6536144578313253
995	0.01	0.01	0.2	20000	0.1658291457286432	0.16884422110552763	0.17185929648241205	0.9547738693467337
995	0.01	0.01	0.2	100000	0.4291457286432161	0.4371859296482412	0.45226130653266333	0.9597989949748744
994	0.01	0.01	0.2	600000	0.7062374245472837	0.7082494969818913	0.7303822937625755	0.9607645875251509
994	0.01	0.01	0.8	20000	0.1790744466800805	0.1750503018108652	0.1891348088531187	0.9617706237424547
992	0.01	0.01	0.8	100000	0.48588709677419356	0.5070564516129032	0.5171370967741935	0.9657258064516129
992	0.01	0.01	0.8	600000	0.7701612903225806	0.7631048387096774	0.7883064516129032	0.9657258064516129
992	0.01	0.05	0.2	20000	0.688508064516129	0.6935483870967742	0.7399193548387096	0.875
991	0.01	0.05	0.2	100000	0.9071644803229062	0.9303733602421796	0.9495459132189707	0.8789101917255298
989	0.01	0.05	0.2	600000	0.961577350859454	0.9848331648129424	0.9878665318503539	0.8796764408493428
987	0.01	0.05	0.8	20000	0.6889564336372846	0.6980749746707193	0.7426545086119554	0.8693009118541033
